Date,Open,High,Low,Close,Volume
12.06.2015 17:00:00.000 GMT-0400,2093.684,2093.684,2093.684,2093.684,0
13.06.2015 17:00:00.000 GMT-0400,2093.684,2093.684,2093.684,2093.684,0
14.06.2015 17:00:00.000 GMT-0400,2087.181,2090.496,2072.172,2084.983,17.1008
15.06.2015 17:00:00.000 GMT-0400,2081.495,2098.000,2070.916,2097.180,11.7763
16.06.2015 17:00:00.000 GMT-0400,2100.488,2107.992,2088.022,2100.698,15.7137
17.06.2015 17:00:00.000 GMT-0400,2091.460,2127.493,2091.452,2121.688,11.0325
18.06.2015 17:00:00.000 GMT-0400,2120.930,2125.742,2107.214,2107.227,12.5706
19.06.2015 17:00:00.000 GMT-0400,2107.227,2107.227,2107.227,2107.227,0
20.06.2015 17:00:00.000 GMT-0400,2107.227,2107.227,2107.227,2107.227,0
21.06.2015 17:00:00.000 GMT-0400,2115.710,2129.679,2115.148,2122.760,15.2166
22.06.2015 17:00:00.000 GMT-0400,2127.190,2128.171,2119.237,2123.471,21.158199999999997
23.06.2015 17:00:00.000 GMT-0400,2122.678,2125.297,2108.141,2108.484,30.666999999999998
24.06.2015 17:00:00.000 GMT-0400,2111.819,2120.745,2100.473,2100.677,27.0894
25.06.2015 17:00:00.000 GMT-0400,2100.984,2108.509,2094.196,2100.991,26.711500000000004
26.06.2015 17:00:00.000 GMT-0400,2100.991,2100.991,2100.991,2100.991,0
27.06.2015 17:00:00.000 GMT-0400,2100.991,2100.991,2100.991,2100.991,0
28.06.2015 17:00:00.000 GMT-0400,2074.681,2090.861,2055.303,2056.497,34.822500000000005
29.06.2015 17:00:00.000 GMT-0400,2063.490,2076.700,2055.190,2060.970,22.027299999999997
30.06.2015 17:00:00.000 GMT-0400,2071.484,2085.578,2068.039,2077.626,11.0268
01.07.2015 17:00:00.000 GMT-0400,2077.999,2087.472,2070.674,2075.174,10.1523
02.07.2015 17:00:00.000 GMT-0400,2078.442,2079.499,2071.660,2072.680,4.4004
